NÂ°,Water_content,Ash_content,Heating_value
1,3.6,17.4,11.3
2,8.2,18.5,13.2
3,8.5,2.7,16
4,5.4,4.7,16.3
5,6.2,5.5,16
6,7.3,3.9,15.1
7,8.05,1.25,18.61
8,5.79,4.26,18.55
9,7.29,0.33,20.03
10,7.63,0.55,18.2
11,8.51,1.6,17.37
12,9.44,15.14,15.94
13,10.03,13.77,16.7
14,10,26,18.6
15,11.99,8.08,21.58
16,7.96,5.48,17.56
17,6.5,6.2,19.97
18,4.7,4.8,21.84
19,5,5,16.86
20,7.7,18.8,13.36
21,4.07,2.24,32.9
22,9.91,6.1,19.2
23,7.5,5.9,24
24,4.4,2.2,17.51
25,4.12,4.85,16.55
26,3.54,7.36,14.39
27,4.23,5.14,16.57
28,8.12,9.28,28.1
29,6.53,3.78,15.42
30,6.22,2.41,18.77
31,5.71,2.01,17.99
32,3.55,2.83,21.47
33,2.37,6,18.79
34,2.19,7.38,18.72
35,2.27,11.78,18.52
36,2.03,6.52,19.52
37,2.44,3.86,27.4
38,3.69,3.67,27.47
39,3.83,7.53,24.2
40,9,2.8,21.83
41,1.68,5.08,22.46
42,8.12,9.39,17.96
43,4.11,4.59,14.17
44,5.43,1.49,16.67
45,8.78,5.95,17.08
46,11.74,10.67,18.36
47,5.98,12.11,16.42
48,8.45,4.99,17.25
49,2.24,3.93,25.6
50,13.1,15.1,16.7
51,10.4,7.9,16.37
52,11.56,9.28,18.27
53,6.61,7.7,12
54,8.77,8.02,22.32
55,6.85,7.12,12
56,7.88,14.02,15.45
